coreData_id,coreData_speed,coreData_accelset_long,coreData_accelset_lat,RSUID,t,x,y,perReportID,corrupted,peerReported
8965636,495.000302038904,60.9999953840578,-5.99999523147369,42,0,-82.4472348286186,27.9542288646517,8965636,1,0
8965636,503.998806966572,59.0000051934591,-35.9999982087551,42,0.400000000000091,-82.4474608554266,27.9542132298763,8965636,1,0
8965636,512.001487749499,4.99999738277418,-47.0000008878302,42,0.700000000000045,-82.4473403260702,27.9541635989673,8965636,1,0
8965636,513.00075500889,30.999995393003,-34.9999939075449,42,0.799999999999955,-82.4474134739773,27.9541989543067,8965636,1,0
8965636,512.999253969735,31.9999973826198,-41.9999938253389,42,0.900000000000091,-82.4474532720774,27.9541925279043,8965636,1,0
8965636,493.999815671266,-24.0000028369973,-21.0000035460969,42,1.29999999999995,-82.4474294798592,27.9541436809305,8965636,1,0
8965636,493.999443514801,16.0000062680259,5.99999894079105,42,1.40000000000009,-82.4474005693776,27.9541898347676,8965636,1,0
8965636,493.000375966247,-3.00000183563303,6.99999531045704,42,1.45000000000005,-82.4475013459245,27.9542273553137,8965636,1,0
8965636,499.000729033091,-23.000004993656,-20.9999966100908,42,1.59899999999993,-82.4473045948846,27.9541970036493,8965636,1,0
8965636,497.000332870963,-11.9999963084391,-6.00000098046979,42,1.70000000000005,-82.447518952742,27.9541574342787,8965636,1,0
8965636,496.000427344517,-13.9999979609498,-40.9999987468135,42,1.79999999999995,-82.4472516436846,27.9541704479265,8965636,1,0
8965636,494.000483947808,-19.9999960855092,-13.0000016147939,42,1.90000000000009,-82.447330474633,27.9541563104781,8965636,1,0
8965636,497.999024080959,-26.0000030587327,-28.9999966695759,42,2.04999999999995,-82.4474145551414,27.954155298309,8965636,1,0
8965636,495.000643831887,-36.0000069708246,-7.99999912395332,42,2.20000000000005,-82.447456279273,27.9540789864985,8965636,1,0
8965636,493.999212648835,-26.9999986058037,-15.9999986399717,42,2.25,-82.4473317729697,27.9541092704149,8965636,1,0
8965636,493.000555784059,-9.00000028027583,-19.9999952583539,42,2.40000000000009,-82.4475455370763,27.9541201249885,8965636,1,0
8965636,488.999011603511,-3.00000026851867,-45.0000005741183,42,2.49900000000002,-82.4474827415085,27.95414148946,8965636,1,0
8965636,488.000993417803,-21.0000024114708,-24.000008114396,42,2.60000000000014,-82.4474063189448,27.954129538241,8965636,1,0
8965636,487.000379495584,-26.9999981909644,-19.9999966684684,42,2.65000000000009,-82.4474026834152,27.9541142363262,8965636,1,0
8965636,483.000715750087,-21.9999995202244,-14.9999983214946,42,2.79999999999995,-82.447434795008,27.9540500137237,8965636,1,0
8965636,481.999390313345,-6.00000093129187,-5.99999814069281,42,2.90000000000009,-82.4474536788721,27.954066316007,8965636,1,0
8965636,479.000708751002,-6.00000182921432,-7.99999807934439,42,2.99900000000002,-82.4475207496479,27.9541390608419,8965636,1,0
8965636,476.999320304715,-31.0000123969379,-3.99999703749838,42,3.10000000000014,-82.4475351913377,27.9541009591823,8965636,1,0
8965636,475.999663018817,-19.9999937304949,-10.9999956333515,42,3.15000000000009,-82.4474950483673,27.9540954891972,8965636,1,0
8965636,473.999755519349,-24.9999961153073,-57.9999996138416,42,3.29999999999995,-82.4475494427568,27.9540791371849,8965636,1,0
8965636,472.000461744546,-20.000000301201,-10.0000024676035,42,3.40000000000009,-82.4475108041273,27.9541657999842,8965636,1,0
8965636,473.001155835859,-29.9999882004231,-23.9999953920154,42,3.49900000000002,-82.4475881283015,27.9540610963836,8965636,1,0
8965636,471.999788529524,-22.999993778136,-43.000001568757,42,3.60000000000014,-82.4477107823388,27.9540720201461,8965636,1,0
8965636,469.999813422471,-19.0000027256334,-7.00000323529373,42,3.70000000000005,-82.4476617764257,27.9540868613664,8965636,1,0
8965636,469.000278494244,-13.0000081162131,-34.999996801633,42,3.79999999999995,-82.4475641915297,27.9541047311746,8965636,1,0
8965636,467.999392378586,-21.0000055039191,-37.9999964579543,42,3.90000000000009,-82.4476187277418,27.9540597367037,8965636,1,0
8965636,469.001314123535,-20.00000588794,-57.0000017678743,42,3.99900000000002,-82.4476020908992,27.9540862205515,8965636,1,0
8965636,467.00095243728,-19.9999973222044,-56.9999960309837,42,4.10000000000014,-82.4475880909229,27.9540828155783,8965636,1,0
8965636,466.000851125604,-6.99999957553426,-18.9999988758076,42,4.20000000000005,-82.4476057610781,27.9540580481229,8965636,1,0
8965636,461.999581121786,-18.9999925078708,-75.9999932026802,42,4.60000000000014,-82.4477573425049,27.953996445263,8965636,1,0
8965636,460.998569160602,-31.0000060780352,-45.9999999643805,42,4.70000000000005,-82.4476272193282,27.9540516452954,8965636,1,0
8664210,535,-43,-28,1,4.95000000000005,-82.4456075,27.9566898,8664210,0,0
8965636,532.999219080003,-31.9999984698641,-19.000000086528,42,4.95000000000005,-82.4456235611993,27.9566831169948,8965636,1,0
8777778,535,-43,-28,24,4.95000000000005,-82.4456075,27.9566898,8777778,0,0
8664210,533,-32,-19,1,5.04999999999995,-82.4456077,27.9566802,8664210,0,0
8965636,538.000384412217,-25.9999989621965,-69.9999997315067,42,5.04999999999995,-82.4456588555734,27.9567131184108,8965636,1,0
8777778,533,-32,-19,24,5.04999999999995,-82.4456077,27.9566802,8777778,0,0
8664210,538,-26,-70,1,5.15000000000009,-82.4456075,27.9566696,8664210,0,0
8777778,538,-26,-70,24,5.15000000000009,-82.4456075,27.9566696,8777778,0,0
8664210,540,6,37,1,5.29999999999995,-82.4456075,27.956655,8664210,0,0
8664210,535,-31,-11,1,5.5,-82.4456075,27.9566356,8664210,0,0
