dataType,metadata_generatedAt,metadata_generatedBy,metadata_logFileName,metadata_schemaVersion,metadata_RSUID,metadata_kind,metadata_psid,metadata_bsmSource,metadata_externalID,coreData_msgCnt,coreData_id,coreData_secMark,coreData_position_lat,coreData_position_long,coreData_elevation,coreData_accelset_accelYaw,coreData_accelset_lat,coreData_accelset_long,coreData_accelset_vert,coreData_angle,coreData_accuracy_orientation,coreData_accuracy_semiMajor,coreData_accuracy_semiMinor,coreData_transmission,coreData_speed,coreData_heading,coreData_brakes_wheelBrakes_leftFront,coreData_brakes_wheelBrakes_rightFront,coreData_brakes_wheelBrakes_unavailable,coreData_brakes_wheelBrakes_leftRear,coreData_brakes_wheelBrakes_rightRear,coreData_brakes_traction,coreData_brakes_abs,coreData_brakes_scs,coreData_brakes_brakeBoost,coreData_brakes_auxBrakes,coreData_size,part2_suve_classification,part2_suve_cd_hpmstype,part2_suve_cd_role,part2_suve_vd_height,part2_suve_vd_mass,part2_suve_vd_bumpers_front,part2_suve_vd_bumpers_rear,part2_vse_events,part2_vse_ph_crumbdata,part2_vse_pp_confidence,part2_vse_pp_radiusofcurve,part2_vse_lights,coreData_position,randomNum,metadata_generatedAt_timeOfDay
bsm,3/19/2021 5:31,rsu,2021_3_19_5_thea28.csv,1,thea28,in,32,RV,NA,116,8637646,25450,279449862,-824477953,-231,-129,2001,-14,49,127,5648,10,18,forwardGears,611,21661,0,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,"{""width"": ""190"", ""length"": ""460""}",10,car,basicVehicle,30,34,43,43,NaN,"[{'latOffset': '-9', 'lonOffset': '-8511', 'elevationOffset': '-8', 'timeOffset': '645'}, {'latOffset': '-426', 'lonOffset': '-16108', 'elevationOffset': '-14', 'timeOffset': '1301'}, {'latOffset': '-848', 'lonOffset': '-17821', 'elevationOffset': '-11', 'timeOffset': '1495'}, {'latOffset': '-1821', 'lonOffset': '-19043', 'elevationOffset': '-8', 'timeOffset': '1667'}, {'latOffset': '-3371', 'lonOffset': '-19636', 'elevationOffset': '-4', 'timeOffset': '1851'}, {'latOffset': '-11643', 'lonOffset': '-19921', 'elevationOffset': '4', 'timeOffset': '2424'}, {'latOffset': '-30526', 'lonOffset': '-20161', 'elevationOffset': '14', 'timeOffset': '3571'}, {'latOffset': '-42271', 'lonOffset': '-21110', 'elevationOffset': '22', 'timeOffset': '4265'}, {'latOffset': '-61052', 'lonOffset': '-21275', 'elevationOffset': '40', 'timeOffset': '5311'}, {'latOffset': '-88066', 'lonOffset': '-22227', 'elevationOffset': '53', 'timeOffset': '6650'}]",93,32767,NaN,POINT (-82.4477953 27.9449862),0.919244983,5.523611111
bsm,3/19/2021 5:12,rsu,2021_3_19_5_thea1.csv,1,thea1,in,32,RV,NA,0,8258224,50710,279527519,-824456127,-289,-8,2001,-7,51,127,8256,4,4,unavailable,895,14565,0,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,"{""width"": ""230"", ""length"": ""580""}",10,car,basicVehicle,30,34,43,43,NaN,"[{'latOffset': '-12657', 'lonOffset': '-477', 'elevationOffset': '1', 'timeOffset': '767'}, {'latOffset': '-21075', 'lonOffset': '-208', 'elevationOffset': '-2', 'timeOffset': '1272'}, {'latOffset': '-27682', 'lonOffset': '141', 'elevationOffset': '-16', 'timeOffset': '1763'}, {'latOffset': '-29016', 'lonOffset': '-196', 'elevationOffset': '-18', 'timeOffset': '1908'}, {'latOffset': '-29851', 'lonOffset': '-1059', 'elevationOffset': '-18', 'timeOffset': '2041'}, {'latOffset': '-30279', 'lonOffset': '-2706', 'elevationOffset': '-18', 'timeOffset': '2194'}, {'latOffset': '-30892', 'lonOffset': '-13764', 'elevationOffset': '-13', 'timeOffset': '2872'}, {'latOffset': '-30782', 'lonOffset': '-39556', 'elevationOffset': '-12', 'timeOffset': '4145'}, {'latOffset': '-30726', 'lonOffset': '-60806', 'elevationOffset': '-27', 'timeOffset': '5225'}, {'latOffset': '-30629', 'lonOffset': '-82129', 'elevationOffset': '-39', 'timeOffset': '8462'}, {'latOffset': '-30482', 'lonOffset': '-103462', 'elevationOffset': '-34', 'timeOffset': '9644'}]",190,32767,NaN,POINT (-82.4456127 27.9527519),0.384345229,5.215
bsm,3/19/2021 5:52,rsu,2021_3_19_5_thea1.csv,1,thea1,in,32,RV,NA,40,8619526,48650,279558040,-824453456,-261,0,50,-2,49,127,95,9,7,unavailable,0,21150,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""208"", ""length"": ""430""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4453456 27.955804),0.293720978,5.88
bsm,3/19/2021 6:26,rsu,2021_3_19_6_thea12.csv,1,thea12,in,32,RV,NA,99,8030097,22656,279485924,-824552161,-208,0,2001,-64,50,127,7174,5,6,forwardGears,7,19937,1,1,0,1,1,unavailable,unavailable,unavailable,unavailable,unavailable,"{""width"": ""230"", ""length"": ""460""}",10,car,basicVehicle,30,34,43,43,NaN,"[{'latOffset': '-1677', 'lonOffset': '-4870', 'elevationOffset': '2', 'timeOffset': '1013'}, {'latOffset': '-8556', 'lonOffset': '-24726', 'elevationOffset': '-1', 'timeOffset': '3309'}, {'latOffset': '-61855', 'lonOffset': '-131071', 'elevationOffset': '50', 'timeOffset': '27799'}, {'latOffset': '-60511', 'lonOffset': '-131071', 'elevationOffset': '50', 'timeOffset': '28034'}, {'latOffset': '-59845', 'lonOffset': '-131071', 'elevationOffset': '52', 'timeOffset': '28260'}, {'latOffset': '-59667', 'lonOffset': '-131071', 'elevationOffset': '55', 'timeOffset': '28749'}, {'latOffset': '-61291', 'lonOffset': '-131071', 'elevationOffset': '53', 'timeOffset': '29715'}, {'latOffset': '-66462', 'lonOffset': '-131071', 'elevationOffset': '53', 'timeOffset': '30636'}, {'latOffset': '-68712', 'lonOffset': '-131071', 'elevationOffset': '53', 'timeOffset': '31096'}, {'latOffset': '-69744', 'lonOffset': '-131071', 'elevationOffset': '54', 'timeOffset': '31475'}, {'latOffset': '-69965', 'lonOffset': '-131071', 'elevationOffset': '53', 'timeOffset': '31803'}, {'latOffset': '-69499', 'lonOffset': '-131071', 'elevationOffset': '51', 'timeOffset': '32206'}, {'latOffset': '-68170', 'lonOffset': '-131071', 'elevationOffset': '51', 'timeOffset': '32626'}, {'latOffset': '-65833', 'lonOffset': '-131071', 'elevationOffset': '58', 'timeOffset': '33318'}, {'latOffset': '-65833', 'lonOffset': '-131071', 'elevationOffset': '58', 'timeOffset': '33318'}]",200,32767,NaN,POINT (-82.4552161 27.9485924),0.0937229,6.439444444
bsm,3/19/2021 5:30,rsu,2021_3_19_5_thea24.csv,1,thea24,in,32,RV,NA,22,8347704,15045,279544973,-824455699,-288,86,2001,114,51,127,8910,8,7,forwardGears,929,14260,0,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,"{""width"": ""190"", ""length"": ""460""}",10,car,basicVehicle,30,34,43,43,NaN,"[{'latOffset': '-3299', 'lonOffset': '137', 'elevationOffset': '-2', 'timeOffset': '206'}, {'latOffset': '-7123', 'lonOffset': '422', 'elevationOffset': '-19', 'timeOffset': '501'}, {'latOffset': '-9881', 'lonOffset': '695', 'elevationOffset': '-23', 'timeOffset': '758'}, {'latOffset': '-11333', 'lonOffset': '380', 'elevationOffset': '-24', 'timeOffset': '918'}, {'latOffset': '-12080', 'lonOffset': '-196', 'elevationOffset': '-25', 'timeOffset': '1021'}, {'latOffset': '-12735', 'lonOffset': '-1651', 'elevationOffset': '-25', 'timeOffset': '1176'}, {'latOffset': '-13154', 'lonOffset': '-7151', 'elevationOffset': '-25', 'timeOffset': '1518'}, {'latOffset': '-13392', 'lonOffset': '-19737', 'elevationOffset': '-24', 'timeOffset': '2099'}, {'latOffset': '-13395', 'lonOffset': '-40956', 'elevationOffset': '-28', 'timeOffset': '3000'}, {'latOffset': '-13318', 'lonOffset': '-62339', 'elevationOffset': '-37', 'timeOffset': '3896'}, {'latOffset': '-13269', 'lonOffset': '-83710', 'elevationOffset': '-45', 'timeOffset': '4803'}]",176,18610,NaN,POINT (-82.4455699 27.9544973),0.90110588,5.504166667
bsm,3/19/2021 5:55,rsu,2021_3_19_5_thea17.csv,1,thea17,in,32,RV,NA,106,8735130,350,279494200,-824528503,-242,36,45,-45,49,127,32652,13,10,unavailable,676,19876,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""208"", ""length"": ""430""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4528503 27.94942),0.190965997,5.916666667
bsm,3/19/2021 5:55,rsu,2021_3_19_5_thea17.csv,1,thea17,in,32,RV,NA,105,8735130,250,279494244,-824528375,-242,16,24,-34,49,127,32652,13,10,unavailable,678,19873,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""208"", ""length"": ""430""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4528375 27.9494244),0.642549864,5.916666667
bsm,3/19/2021 5:53,rsu,2021_3_19_5_thea2.csv,1,thea2,in,32,RV,NA,93,8579412,32350,279523507,-824456728,-275,-19,1,53,49,127,1878,9,8,unavailable,487,14509,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""208"", ""length"": ""430""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4456728 27.9523507),0.382647029,5.892222222
bsm,3/19/2021 6:30,rsu,2021_3_19_6_thea33.csv,1,thea33,in,32,RV,NA,67,8477209,11283,279526573,-824581626,-197,8,2001,27,49,127,8428,4,4,unavailable,326,26984,0,0,0,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,"{""width"": ""254"", ""length"": ""1250""}",50,bus,transit,30,34,43,43,NaN,"[{'latOffset': '3312', 'lonOffset': '-1351', 'elevationOffset': '8', 'timeOffset': '3302'}, {'latOffset': '14258', 'lonOffset': '-6380', 'elevationOffset': '39', 'timeOffset': '8066'}, {'latOffset': '24199', 'lonOffset': '-10856', 'elevationOffset': '35', 'timeOffset': '15548'}, {'latOffset': '41907', 'lonOffset': '-18314', 'elevationOffset': '10', 'timeOffset': '26807'}]",190,32767,NaN,POINT (-82.4581626 27.9526573),0.203342734,6.503055556
bsm,3/19/2021 6:29,rsu,2021_3_19_6_thea5.csv,1,thea5,in,32,RV,NA,126,8250565,50674,279524423,-824580677,-200,18,2001,0,49,127,8568,6,5,unavailable,0,27241,1,1,0,1,1,unavailable,unavailable,unavailable,unavailable,unavailable,"{""width"": ""254"", ""length"": ""1250""}",50,bus,transit,30,34,43,43,NaN,"[{'latOffset': '1162', 'lonOffset': '-402', 'elevationOffset': '5', 'timeOffset': '1241'}, {'latOffset': '12107', 'lonOffset': '-5430', 'elevationOffset': '36', 'timeOffset': '6005'}, {'latOffset': '22049', 'lonOffset': '-9907', 'elevationOffset': '32', 'timeOffset': '13487'}, {'latOffset': '39757', 'lonOffset': '-17364', 'elevationOffset': '7', 'timeOffset': '24746'}]",200,32767,NaN,POINT (-82.4580677 27.9524423),0.953177048,6.497222222
